speaker_id,start_time,end_time,transcribed_content,named_entities,sentiment_score,tone_intensity
SPEAKER_01,0.0s,1.4s," You know, the pedals want me to be...",[],0.0772,0.007551468443125486
SPEAKER_01,1.5s,2.2s,,[],0.0,0.009375927969813347
SPEAKER_00,2.2s,2.8s, Okay.,[],0.2263,0.023440085351467133
SPEAKER_01,3.0s,7.7s," So when you see that some driver indicator highlight green, make sure you don't hit the brake at any point during the drive.",[],0.5719,0.011211249977350235
SPEAKER_01,8.7s,11.0s, this dog the car can look out what happened who he is.,[],0.0,0.015183141455054283
SPEAKER_02,11.0s,13.0s, for getting visual feedback for targets.,[],0.0,0.011030689813196659
SPEAKER_05,13.0s,15.7s, in the environment so the car can have a look how to pay attention.,[],-0.1027,0.009315194562077522
SPEAKER_05,15.9s,17.0s, that screen.,[],0.0,0.010397682897746563
SPEAKER_04,17.6s,18.6s, our working out st Idle Bay station,"[{'entity': 'LOC', 'text': 'Idle Bay'}]",0.0,0.00794838834553957
SPEAKER_04,19.3s,21.3s," Remember to tap the targets on that hood, yes?",[],0.4019,0.010060904547572136
SPEAKER_04,21.4s,23.4s, as well as completing those workstation tasks.,[],0.2732,0.008749664761126041
